Coffee Name,Caffeine Level,Sweetness,Type,Roast Level,Milk Type,Flavor Notes,Acidity Level,Bitterness Level,Weather,Temperature
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Handcrafted Milk Chocolate,Low,Medium,Iced,None,Dairy,Chocolate,Low,Low,Hot,Iced
Double Double,Medium,High,Iced,Medium,Dairy,Chocolate,Low,Medium,Hot,Iced
Iced Coffee,Low,High,Hot,Medium,Dairy,Sweet,Low,High,Cold,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Coffee,Low,High,Hot,Medium,Dairy,Sweet,Low,High,Cold,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Dark Roast,High,High,Hot,Medium,Dairy,Nutty,Low,Low,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Macchiato,High,Low,Iced,Medium,Dairy,Chocolate,Low,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Spanish Latte ,Medium,Medium,Iced,Dark,Dairy,Vanilla,Low,Medium,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,High,High,Iced,Medium,None,Coffee,Low,Low,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Macchiato,Medium,High,Iced,Medium,Dairy,Caramel,Low,Low,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
French Vanilla Cold Brew,Medium,High,Iced,Medium,Dairy,Nutty,Low,High,Hot,Iced
Café Mocha,Medium,High,Hot,Medium,Dairy,Vanilla,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Macchiato,Medium,High,Iced,Medium,Dairy,Caramel,Low,Low,Hot,Iced
Cafe Americano,High,Low,Hot,Medium,None,Bitter,Medium,High,Cold,Hot
Latte,Low,Medium,Hot,Medium,None,Nutty,Low,Low,Cold,Iced
Double Double,Medium,Medium,Frozen,Medium,Dairy,Caramel,Low,Medium,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,Medium,Medium,Hot,Medium,Dairy,Creamy,Medium,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Macchiato,High,High,Iced,Medium,Dairy,Bitter,Low,Medium,Hot,Hot
Iced Cappuccino,Medium,Medium,Hot,Medium,Dairy,Caramel,Low,Low,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Coffee,Medium,Medium,Hot,Medium,Dairy,Coffee,Low,Low,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Triple Coffee Jelly,High,High,Hot,Medium,None,Nutty,Low,Low,Hot,Frozen
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Cappuccino,Medium,High,Iced,Medium,None,Creamy,Low,Low,Cold,Iced
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Triple Coffee Jelly,Medium,Medium,Hot,Medium,None,Espresso,Low,High,Cold,Iced
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Dark Roast,High,Medium,Iced,Dark,Dairy,Bitter,Low,Medium,Cold,Iced
Classic Roast,High,High,Iced,Medium,None,Coffee,Low,Low,Cold,Hot
Cafe Americano,Low,High,Iced,Medium,None,Coffee,Medium,Medium,Cold,Iced
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Spanish Latte ,Medium,Low,Iced,Medium,None,Bitter,Low,Low,Cold,Iced
Iced Handcrafted Milk Chocolate,Medium,Medium,Hot,None,Dairy,Vanilla,Low,Medium,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
French Vanilla,Medium,High,Iced,Dark,Dairy,Nutty,Medium,Medium,Hot,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Triple Coffee Jelly,High,High,Iced,Medium,None,Nutty,Low,Low,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
French Vanilla,Medium,High,Iced,Dark,Dairy,Espresso,Low,Medium,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Cappuccino,Medium,Medium,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Cafe Americano,High,High,Hot,Medium,Dairy,Vanilla,Low,Medium,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Handcrafted Milk Chocolate,High,Medium,Iced,Medium,Dairy,Creamy,Low,Medium,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Spanish Latte ,Medium,Low,Iced,None,None,Coffee,Low,Medium,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Dark Roast,High,Medium,Iced,Dark,Dairy,Bitter,Low,Medium,Cold,Iced
Frozen Hot Chocolate,Medium,High,Iced,Medium,None,Chocolate,Low,Low,Cold,Hot
Café Mocha,Medium,High,Hot,Medium,Dairy,Chocolate,Low,Medium,Cold,Hot
Macchiato,Medium,Low,Hot,Medium,None,Nutty,Low,High,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Latte,Low,Medium,Hot,None,Dairy,Nutty,Low,Medium,Hot,Hot
Iced French Vanilla,Medium,Low,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Double Double,Medium,Medium,Frozen,Medium,Dairy,Caramel,Low,Medium,Hot,Iced
Frozen Hot Chocolate,Low,Medium,Hot,Medium,Dairy,Bitter,Low,High,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Triple Coffee Jelly,Medium,Medium,Iced,Medium,Dairy,Chocolate,Medium,High,Cold,Iced
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Frozen Hot Chocolate,Medium,Low,Iced,Medium,None,Coffee,Medium,Low,Hot,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
French Vanilla,High,Medium,Hot,Medium,Dairy,Chocolate,Low,High,Cold,Iced
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Spanish Latte ,Medium,Low,Iced,None,None,Coffee,Low,Medium,Hot,Hot
Café Mocha,Medium,High,Hot,Medium,Dairy,Vanilla,Medium,Low,Hot,Iced
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Cafe Americano,Low,High,Iced,Medium,None,Coffee,Medium,Medium,Cold,Iced
Dark Roast,Medium,Medium,Iced,Medium,None,Nutty,Medium,Medium,Hot,Hot
Dark Roast,High,Medium,Hot,Medium,Dairy,Caramel,Medium,Low,Cold,Hot
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Iced Latte,Medium,Medium,Hot,Dark,Dairy,Creamy,Medium,Medium,Hot,Hot
Iced Cappuccino,High,Low,Iced,Medium,Dairy,Vanilla,Medium,Low,Cold,Hot
French Vanilla Cold Brew,High,High,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Triple Coffee Jelly,High,Medium,Hot,Medium,None,Chocolate,Low,Medium,Hot,Iced
Classic Roast,High,High,Iced,Medium,None,Coffee,Low,Low,Cold,Hot
Latte,Low,Medium,Hot,Medium,None,Nutty,Low,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,Medium,Medium,Hot,Medium,Dairy,Caramel,Low,Low,Hot,Hot
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
French Vanilla,High,Medium,Hot,Medium,Dairy,Chocolate,Low,High,Cold,Iced
Classic Roast,High,Medium,Hot,Medium,None,Vanilla,Low,Medium,Hot,Iced
French Vanilla,Medium,High,Iced,Dark,Dairy,Espresso,Low,Medium,Hot,Hot
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Iced Handcrafted Milk Chocolate,Medium,Medium,Frozen,Medium,None,Caramel,Medium,High,Hot,Hot
Classic Roast,High,Medium,Hot,Medium,None,Vanilla,Low,Medium,Hot,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Macchiato,Medium,Low,Hot,Medium,None,Nutty,Low,High,Cold,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,Medium,High,Frozen,Dark,Dairy,Creamy,Low,Low,Cold,Iced
Triple Coffee Jelly,High,High,Iced,Medium,None,Chocolate,Medium,Medium,Hot,Hot
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Medium,Low,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Iced Handcrafted Milk Chocolate,High,High,Hot,Medium,Dairy,Chocolate,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,High,Low,Iced,Medium,Dairy,Vanilla,Medium,Low,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Macchiato,High,Low,Iced,Medium,Dairy,Chocolate,Low,High,Hot,Hot
Spanish Latte ,Medium,Low,Iced,None,None,Coffee,Low,Medium,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Double Double,Medium,Medium,Frozen,Medium,Dairy,Caramel,Low,Medium,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Triple Coffee Jelly,High,Low,Frozen,Medium,None,Nutty,Medium,Low,Hot,Iced
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Cappuccino,Medium,Medium,Hot,Medium,None,Chocolate,Low,Medium,Hot,Hot
Iced Coffee,High,Low,Hot,Medium,None,Nutty,Medium,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Medium,Hot,Medium,None,Nutty,Low,Low,Cold,Iced
Dark Roast,High,Medium,Hot,Medium,Dairy,Caramel,Medium,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Coffee,Low,Medium,Hot,Dark,Dairy,Vanilla,Low,Low,Cold,Iced
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,Low,High,Hot,Medium,Dairy,Nutty,Medium,Low,Hot,Iced
Iced Latte,Low,Low,Iced,Dark,Dairy,Earthy,Low,Medium,Cold,Frozen
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
French Vanilla,Low,Medium,Hot,None,Dairy,Chocolate,Low,Low,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced French Vanilla,Low,High,Frozen,Medium,Dairy,Vanilla,Medium,Medium,Cold,Hot
Triple Coffee Jelly,Medium,Low,Iced,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Iced Coffee,Low,High,Iced,Medium,None,Creamy,Low,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Medium,High,Iced,Medium,Dairy,Nutty,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Triple Coffee Jelly,Low,Low,Hot,Medium,Dairy,Vanilla,Medium,Low,Cold,Hot
Iced French Vanilla,Low,High,Hot,Medium,Dairy,Nutty,Medium,Low,Hot,Iced
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Dark Roast,Low,High,Hot,Medium,Dairy,Coffee,Medium,Medium,Hot,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Iced Coffee,High,Low,Hot,Medium,None,Nutty,Medium,Medium,Cold,Iced
Triple Coffee Jelly,Medium,Low,Hot,Medium,Dairy,Chocolate,Low,Low,Hot,Iced
Frozen Hot Chocolate,Medium,Low,Iced,Medium,None,Coffee,Medium,Low,Hot,Iced
Dark Roast,High,Medium,Iced,Dark,Dairy,Bitter,Low,Medium,Cold,Iced
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Café Mocha,Medium,Low,Iced,None,Dairy,Nutty,Medium,Medium,Cold,Iced
Cappuccino,Medium,Medium,Hot,None,Dairy,Coffee,Low,Medium,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Double Double,Medium,Medium,Frozen,Medium,Dairy,Caramel,Low,Medium,Hot,Iced
Iced Coffee,Low,Medium,Hot,Dark,Dairy,Vanilla,Low,Low,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Macchiato,Medium,Low,Hot,Medium,None,Nutty,Low,High,Cold,Hot
French Vanilla,Medium,High,Iced,Dark,Dairy,Nutty,Medium,Medium,Hot,Iced
Dark Roast,High,Medium,Iced,Dark,Dairy,Bitter,Low,Medium,Cold,Iced
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Iced Handcrafted Milk Chocolate,High,Medium,Hot,Medium,None,Nutty,Low,Medium,Cold,Hot
Iced Cappuccino Supreme,Low,Low,Hot,Dark,Dairy,Coffee,Low,Low,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Spanish Latte ,Medium,High,Hot,Medium,Dairy,Sweet,Low,Medium,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Medium,Low,Iced,Medium,None,Coffee,Medium,Low,Hot,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Classic Roast,Medium,Low,Hot,None,Dairy,Vanilla,Low,Medium,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Iced French Vanilla,High,Low,Frozen,None,None,Bitter,Medium,Medium,Cold,Hot
Iced Coffee,Low,Medium,Hot,Dark,Dairy,Vanilla,Low,Low,Cold,Iced
French Vanilla,Medium,Low,Hot,Medium,None,Creamy,Medium,Low,Hot,Hot
Iced Cappuccino,High,High,Frozen,None,None,Nutty,Low,Low,Hot,Iced
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Low,Hot,Frozen
Dark Roast,High,Medium,Iced,Dark,Dairy,Bitter,Low,Medium,Cold,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
Latte,Low,Low,Frozen,Medium,None,Coffee,Medium,High,Hot,Hot
Spanish Latte ,Medium,Low,Iced,Medium,None,Bitter,Low,Low,Cold,Iced
Dark Roast,High,Medium,Frozen,Medium,Dairy,Chocolate,Medium,Low,Cold,Iced
Triple Coffee Jelly,High,Low,Frozen,Medium,None,Nutty,Medium,Low,Hot,Iced
Classic Roast,Medium,High,Hot,Dark,None,Coffee,Low,Medium,Cold,Iced
Dark Roast,High,High,Iced,Medium,None,Creamy,Low,Medium,Hot,Iced
Dark Roast,Medium,Low,Hot,Dark,None,Earthy,Low,High,Cold,Hot
